,Date,countyFIPS,StateFIPS,Cases,Death,Population,new_cases,new_deaths,Normalized cases,Normalized deaths,Log normalized cases,Log normalized deaths
69,2020-04-01,95465426,95140,205529,4494,328239523,24586.0,974.0,290.30042727090233,10.13724005186335,65.86158994491306,1.1680783100512677
70,2020-04-02,95465426,95140,233841,5415,328239523,28312.0,921.0,357.91240001315714,10.816698425089479,73.62285718591659,0.9966891101227935
71,2020-04-03,95465426,95140,269391,6441,328239523,35550.0,1026.0,402.0470670115301,11.309018932429721,76.92739757842256,1.191138155243276
72,2020-04-04,95465426,95140,302647,7761,328239523,33256.0,1320.0,408.3912797392575,12.792078960011983,77.96606920420042,1.9486499545922653
73,2020-04-05,95465426,95140,328343,9196,328239523,25696.0,1435.0,313.6667438413462,13.114692934330705,70.28602699803305,1.8221553037654656
74,2020-04-06,95465426,95140,358260,10441,328239523,29917.0,1245.0,382.9503783897562,11.722336860685092,74.77153294095226,1.1806963094691743
75,2020-04-07,95465426,95140,389944,12414,328239523,31684.0,1973.0,401.05649287196127,22.324525378077578,79.05794191391932,4.611784296059011
76,2020-04-08,95465426,95140,422956,14332,328239523,33012.0,1918.0,418.9687591362567,19.87193451257203,79.50200115227514,3.670903921517284
77,2020-04-09,95465426,95140,456528,16122,328239523,33572.0,1790.0,412.8386328118443,18.48328270717466,81.04330323727392,2.611123442325145
78,2020-04-10,95465426,95140,489954,18395,328239523,33426.0,2273.0,398.1265210190651,22.794399201165902,78.41241385502856,4.406333398219778
79,2020-04-11,95465426,95140,520551,20099,328239523,30597.0,1704.0,400.6122632772136,17.071597064989554,76.49119102147301,2.8608781240460504
80,2020-04-12,95465426,95140,547386,21677,328239523,26835.0,1578.0,327.4616511450622,15.006145940796015,67.70621717190696,2.660851932427412
81,2020-04-13,95465426,95140,572019,22246,328239523,24633.0,569.0,313.00226728741916,6.175663864857869,65.83768134762188,1.0471766897942285
82,2020-04-14,95465426,95140,597897,26774,328239523,25878.0,4528.0,393.18197464100103,46.39889976526801,67.08287711665562,9.709207239495285
83,2020-04-15,95465426,95140,628173,29152,328239523,30276.0,2378.0,358.81458884102545,29.268047576427872,71.16320519544797,6.186538545922872
84,2020-04-16,95465426,95140,660757,31383,328239523,32584.0,2231.0,469.3736212603602,27.685563551953283,84.13959972686393,5.926808282689079
85,2020-04-17,95465426,95140,691669,33225,328239523,30912.0,1842.0,423.137057558631,22.254720883675613,81.54478718549755,4.007938831226797
86,2020-04-18,95465426,95140,719345,34854,328239523,27676.0,1629.0,399.58827331378717,19.305827978658858,78.94275769979417,2.919194104423124
87,2020-04-19,95465426,95140,744934,37368,328239523,25589.0,2514.0,338.296368752657,21.441453490951204,69.23861839297614,4.060588386461281
88,2020-04-20,95465426,95140,771292,39147,328239523,26358.0,1779.0,409.6884866431694,22.718874664397365,75.59969973690042,4.261004692569257
89,2020-04-21,95465426,95140,796546,41830,328239523,25254.0,2683.0,370.56294248283916,30.759935894640712,74.93045598544181,6.274886608487982
90,2020-04-22,95465426,95140,825152,43849,328239523,28606.0,2019.0,446.8162892068844,26.906159841815867,83.23806687896423,4.88834244246193
91,2020-04-23,95465426,95140,856451,45695,328239523,31299.0,1846.0,444.6110974296929,22.95166551351078,84.85233602886775,4.503626751929225
92,2020-04-24,95465426,95140,893707,48481,328239523,37256.0,2786.0,519.6097324456078,33.98264160657226,92.08629043283142,7.429979623177483
93,2020-04-25,95465426,95140,927339,50582,328239523,33632.0,2101.0,473.4803348085942,34.53302145728467,87.63627020604089,8.27100766228026
94,2020-04-26,95465426,95140,952619,51752,328239523,25280.0,1170.0,400.3129161035302,15.19034393608799,75.30564221224273,3.00135760321203
95,2020-04-27,95465426,95140,975482,53120,328239523,22863.0,1368.0,340.9387900106088,17.23953026705275,74.9276507321031,2.6670037934260673
96,2020-04-28,95465426,95140,999709,55270,328239523,24227.0,2150.0,378.7673780183458,25.796729363841855,78.56997161453712,4.7535169581772205
97,2020-04-29,95465426,95140,1027584,58228,328239523,27875.0,2958.0,427.3126985093532,42.28414854822582,84.11263097493432,10.471873624676798
98,2020-04-30,95465426,95140,1056479,60356,328239523,28895.0,2128.0,453.16183970713007,28.769722007342097,88.92133961011665,5.4956768815026065
99,2020-05-01,95465426,95140,1089920,62202,328239523,33441.0,1846.0,544.8971917253252,24.734459126914462,95.10333116228693,3.9118443569467467
100,2020-05-02,95465426,95140,1119519,63967,328239523,29599.0,1765.0,452.7789352447058,22.93404820583946,90.71994950395901,4.309131224883752
101,2020-05-03,95465426,95140,1144082,65196,328239523,24563.0,1229.0,378.5895332070101,16.913157934439344,78.81855592398122,2.8758613982075767
102,2020-05-04,95465426,95140,1165932,66172,328239523,21850.0,976.0,345.0346174669283,12.051255412452583,78.52122712112144,1.0770296529439094
103,2020-05-05,95465426,95140,1189359,68650,328239523,23427.0,2478.0,341.2475971201227,30.018841824701187,76.3544657908107,5.129259469312383
104,2020-05-06,95465426,95140,1213640,71418,328239523,24281.0,2768.0,384.1166284558955,40.37107606172229,82.81082896063693,7.594241249497371
105,2020-05-07,95465426,95140,1240861,73517,328239523,27221.0,2099.0,425.88534987467864,27.344045931506447,86.85531435733458,5.181458377314323
106,2020-05-08,95465426,95140,1267895,75249,328239523,27034.0,1732.0,437.8266584219445,22.682350759928887,85.86209206516774,3.865958683814783
107,2020-05-09,95465426,95140,1293289,76846,328239523,25394.0,1597.0,398.21506773829344,20.753102798647355,84.30960909446227,2.688516542984687
108,2020-05-10,95465426,95140,1312658,77811,328239523,19369.0,965.0,296.4615479911516,13.035018629524382,71.26838622719167,1.9931596500115891
109,2020-05-11,95465426,95140,1331877,78798,328239523,19219.0,987.0,435.148647468076,14.588195043963067,73.07927536332751,1.736714522132737
110,2020-05-12,95465426,95140,1353165,80435,328239523,21288.0,1637.0,320.3030892859873,22.419029694905134,76.94169820734466,1.7357117439217222
111,2020-05-13,95465426,95140,1374193,82213,328239523,21028.0,1778.0,359.28838009553357,24.750969331118256,82.4285241980839,4.060791016490756
112,2020-05-14,95465426,95140,1400617,84071,328239523,26424.0,1858.0,401.1686296076586,25.094125592465172,86.43096315265393,4.048952568380857
113,2020-05-15,95465426,95140,1425252,85600,328239523,24635.0,1529.0,369.3609581860884,21.434454735982634,85.11799839302506,2.4632490789570602
114,2020-05-16,95465426,95140,1449373,86884,328239523,24121.0,1284.0,366.968902521104,22.884756347399417,83.32145991631427,3.5392254320211998
115,2020-05-17,95465426,95140,1467293,87706,328239523,17920.0,822.0,262.29146068988604,11.809591194441092,64.91273710129954,1.3656593836960749
116,2020-05-18,95465426,95140,1488226,88733,328239523,20933.0,1027.0,329.17824908857943,13.76981842035789,75.31915923974518,1.1654814919960754
117,2020-05-19,95465426,95140,1508825,90238,328239523,20599.0,1505.0,351.9720501441167,19.729391916613178,78.73915425421133,0.8969089264136213
118,2020-05-20,95465426,95140,1531368,91819,328239523,22543.0,1581.0,421.23415799759323,21.750214718245967,81.73183150524993,1.9351118144029416
119,2020-05-21,95465426,95140,1556910,93141,328239523,25542.0,1322.0,435.153426669823,18.11452585382505,91.54971370445266,0.6478770703763054
120,2020-05-22,95465426,95140,1580509,94481,328239523,23599.0,1340.0,369.3964490336814,23.98904052331356,86.30044348112568,2.957967353997577
